Towed to Address Lower,Latitude,Longitude,Color,Count
10300 s. doty,41.6997783,-87.5946358,BGE,22
10300 s. doty,41.6997783,-87.5946358,BLK,509
10300 s. doty,41.6997783,-87.5946358,BLU,142
10300 s. doty,41.6997783,-87.5946358,BRO,15
10300 s. doty,41.6997783,-87.5946358,BRZ,5
10300 s. doty,41.6997783,-87.5946358,CRM,4
10300 s. doty,41.6997783,-87.5946358,DBL,27
10300 s. doty,41.6997783,-87.5946358,DGR,3
10300 s. doty,41.6997783,-87.5946358,GLD,28
10300 s. doty,41.6997783,-87.5946358,GRN,24
10300 s. doty,41.6997783,-87.5946358,GRY,318
10300 s. doty,41.6997783,-87.5946358,LBL,9
10300 s. doty,41.6997783,-87.5946358,LGR,3
10300 s. doty,41.6997783,-87.5946358,MAR,29
10300 s. doty,41.6997783,-87.5946358,ONG,10
10300 s. doty,41.6997783,-87.5946358,PLE,6
10300 s. doty,41.6997783,-87.5946358,RED,148
10300 s. doty,41.6997783,-87.5946358,SIL,228
10300 s. doty,41.6997783,-87.5946358,TAN,46
10300 s. doty,41.6997783,-87.5946358,TRQ,1
10300 s. doty,41.6997783,-87.5946358,WHI,370
10300 s. doty,41.6997783,-87.5946358,YEL,3
400 e. lower wacker,41.8806436,-87.6367201,BLK,62
400 e. lower wacker,41.8806436,-87.6367201,BLU,22
400 e. lower wacker,41.8806436,-87.6367201,BRO,5
400 e. lower wacker,41.8806436,-87.6367201,CRM,1
400 e. lower wacker,41.8806436,-87.6367201,GLD,1
400 e. lower wacker,41.8806436,-87.6367201,GRN,2
400 e. lower wacker,41.8806436,-87.6367201,GRY,65
400 e. lower wacker,41.8806436,-87.6367201,MAR,5
400 e. lower wacker,41.8806436,-87.6367201,PLE,1
400 e. lower wacker,41.8806436,-87.6367201,RED,17
400 e. lower wacker,41.8806436,-87.6367201,SIL,18
400 e. lower wacker,41.8806436,-87.6367201,TAN,1
400 e. lower wacker,41.8806436,-87.6367201,WHI,49
701 n. sacramento,41.8935214,-87.7011083,BGE,24
701 n. sacramento,41.8935214,-87.7011083,BLK,661
701 n. sacramento,41.8935214,-87.7011083,BLU,242
701 n. sacramento,41.8935214,-87.7011083,BRO,11
701 n. sacramento,41.8935214,-87.7011083,BRZ,8
701 n. sacramento,41.8935214,-87.7011083,CRM,9
701 n. sacramento,41.8935214,-87.7011083,DBL,24
701 n. sacramento,41.8935214,-87.7011083,DGR,5
701 n. sacramento,41.8935214,-87.7011083,GLD,26
701 n. sacramento,41.8935214,-87.7011083,GRN,39
701 n. sacramento,41.8935214,-87.7011083,GRY,561
701 n. sacramento,41.8935214,-87.7011083,LAV,1
701 n. sacramento,41.8935214,-87.7011083,LBL,14
701 n. sacramento,41.8935214,-87.7011083,LGR,6
701 n. sacramento,41.8935214,-87.7011083,MAR,56
701 n. sacramento,41.8935214,-87.7011083,ONG,7
701 n. sacramento,41.8935214,-87.7011083,PLE,10
701 n. sacramento,41.8935214,-87.7011083,PNK,1
701 n. sacramento,41.8935214,-87.7011083,RED,172
701 n. sacramento,41.8935214,-87.7011083,SIL,324
701 n. sacramento,41.8935214,-87.7011083,TAN,53
701 n. sacramento,41.8935214,-87.7011083,TRQ,1
701 n. sacramento,41.8935214,-87.7011083,WHI,482
701 n. sacramento,41.8935214,-87.7011083,YEL,6
